node, chunk
1221322,7
1226616,1
1230840,3
1234261,0
1234273,5
1240228,2
1248972,11
1250792,7
1262321,1
1266490,1
1270216,11
1271742,10
1275487,8
1291243,11
1291435,0
1295211,11
1323832,2
1328070,3
1333648,6
1337163,9
1347786,2
1352479,1
1352481,1
1352770,2
1365757,7
1371681,10
1373157,10
1381582,2
1387126,11
1411666,4
1415580,8
1419289,4
1419345,2
1437010,3
1437190,4
1437191,4
1453894,3
1463675,2
1463973,2
1477025,10
1485138,2
1486046,1
1492673,0
1496133,3
1497538,3
1497555,2
1501341,10
1507135,4
1511221,11
1518534,1
1519100,11
1530245,10
1534307,7
1535445,11
1549196,2
1553677,11
1559960,0
1560151,10
1564486,2
1566151,2
1569773,11
1572043,5
1572519,1
1577614,1
1577615,1
1577616,1
1577617,1
1577620,1
1577623,1
1577624,1
1579337,2
1582032,1
1582913,5
1588158,1
1594222,10
1594226,10
1594250,10
1594315,10
1594321,10
1594354,10
1594453,10
1594786,5
1604048,2
1606681,5
1608454,5
1608482,3
1608915,10
1608916,10
1608923,10
1608924,10
1629725,11
1661398,11
1666818,10
1667466,4
1676925,7
1717472,1
1747188,7
1756245,10
1756246,10
1758121,2
1765738,11
1778380,6
1825980,2
1840514,11
1841481,7
1857951,10
1857961,9
1868482,3
1869276,4
1869501,10
1869985,10
1870430,9
1870435,10
1870436,10
1871131,1
1875375,10
1882922,10
1891344,11
1897488,11
1906353,3
1918221,1
1918310,1
1922239,4
1935872,7
1948886,2
1961834,2
1962788,11
1973248,3
1977171,2
1977532,10
1982067,5
1983282,11
2004999,4
2006714,4
2006715,4
2010996,10
2010997,10
2014036,11
2015173,4
2024865,4
2026947,0
2038154,11
2052820,2
2059683,6
2065413,11
2069292,11
2069564,3
2164160,4
2201626,10
2249760,4
2282171,3
2302820,4
2303995,7
2340998,3
2448451,4
2478892,2
2485327,2
2487776,11
2489341,2
2492375,9
2494418,1
2495015,4
2495085,4
2495127,4
2495534,2
2498840,2
2499240,6
2508170,3
2518271,2
2518323,7
2529409,2
2546036,7
2558925,10
2561016,10
2562068,4
2581075,11
2583951,11
2583954,11
2584527,11
2584528,11
2585810,2
2585812,2
2585813,2
2585814,2
2585815,2
2585816,2
2585818,2
2585820,2
2585822,2
2587831,2
2589376,0
2593467,2
2654888,11
2663927,1
2663966,11
2668079,2
2691554,7
2705178,4
2714349,1
2715852,3
2717088,2
2723871,2
2740528,3
2741128,1
2743709,5
2767082,2
2795564,10
2795567,10
2795671,1
2795680,4
2795693,10
2796247,3
2817044,4
2822343,4
2829445,1
2830794,0
2871759,7
2879419,0
2893758,2
2916761,2
2917703,8
2918886,3
2919650,7
2920201,7
2920202,7
1358,0
2769,0
2850,0
2880,0
2903,0
3052,0
3067,0
3072,0
3077,0
3193,0
3218,0
3258,0
3261,0
3311,0
3325,0
3329,0
3330,0
3347,0
3349,0
3350,0
3352,0
3562,0
3641,0
3649,0
3656,0
3659,0
3661,0
3663,0
3694,0
3701,0
3702,0
3708,0
3710,0
3711,0
3712,0
3719,0
3749,0
3760,0
3767,0
3821,0
3827,0
3847,0
3877,0
3879,0
3880,0
3885,0
3888,0
3899,0
3904,0
3906,0
3908,0
3983,0
3988,0
4006,0
4039,0
4070,0
4072,0
4081,0
4083,0
4084,0
4087,0
4096,0
4097,0
4098,0
4100,0
4101,0
4102,0
4107,0
4111,0
4113,0
4120,0
4121,0
4151,0
4155,0
4236,0
4403,0
4432,0
4485,0
4486,0
4491,0
4498,0
4513,0
4519,0
4522,0
4528,0
4529,0
4530,0
4532,0
4538,0
4547,0
4550,0
4555,0
4558,0
4565,0
4567,0
4568,0
4571,0
4572,0
4573,0
4575,0
4576,0
4577,0
4586,0
4615,0
4641,0
4679,0
4689,0
4691,0
4751,0
4754,0
4784,0
4785,0
4787,0
4792,0
4837,0
4876,0
4896,0
4911,0
4914,0
4931,0
4932,0
4934,0
4952,0
4959,0
5016,0
5022,0
5028,0
5037,0
5059,0
5062,0
5105,0
5116,0
5141,0
5180,0
5191,0
5207,0
5217,0
5270,0
5272,0
5297,0
5315,0
5322,0
5334,0
5341,0
5346,0
5476,0
5478,0
5499,0
5500,0
5507,0
5535,0
5599,0
5656,0
5658,0
5661,0
5664,0
5666,0
5667,0
5671,0
5690,0
5691,0
5693,0
5699,0
5710,0
5722,0
5738,0
5741,0
5755,0
5757,0
5758,0
5759,0
5762,0
5786,0
5811,0
5833,0
5875,0
5888,0
5911,0
5936,0
5944,0
6073,0
6087,0
6131,0
6162,0
6182,0
6183,0
6192,0
6231,0
6233,0
6238,0
6252,0
6279,0
6282,0
6293,0
6303,0
6304,0
6305,0
6306,0
6319,0
6326,0
6334,0
6412,0
6500,0
6526,0
6550,0
6565,0
6573,0
6584,0
6604,0
6610,0
6615,0
6656,0
6669,11
6689,11
6728,11
6747,11
6769,11
6896,0
6935,0
6941,0
6943,0
6945,0
7010,11
7014,11
7019,11
7077,11
7088,0
7090,10
7123,10
7127,10
7151,1
7154,1
7164,1
7175,1
7186,1
7209,0
7216,1
7221,1
7253,1
7264,1
7269,1
7293,1
7420,4
7432,4
7574,0
7654,8
7656,8
7664,8
7668,8
7671,8
7685,8
7719,8
7739,8
7741,8
7778,8
7797,8
7883,8
7895,8
7896,8
7897,8
7937,7
7959,5
8006,7
8020,7
8036,7
8060,7
8079,7
8113,7
8130,7
8262,7
8313,8
8316,8
8324,8
8325,8
8353,8
8360,8
8400,8
8404,8
8406,8
8464,2
8492,2
8493,2
8500,2
8509,8
8527,8
8584,8
8704,8
8720,8
8782,2
8825,2
8879,2
8953,2
8976,2
9030,2
9126,2
9182,2
9257,3
9261,3
9265,3
9267,3
9312,3
9314,3
9321,3
9349,3
9360,3
9368,3
9373,3
9378,3
9379,3
9395,3
9456,3
9498,3
9527,3
9528,3
9556,3
9577,3
9608,3
9611,3
9665,3
9681,3
9682,3
9683,3
9717,3
9721,3
9726,3
9774,3
9780,3
9789,3
9845,3
9887,3
9895,3
9984,3
9996,3
10013,3
10016,3
10033,3
10035,3
10040,3
10043,3
10046,3
10114,3
10127,3
10140,3
10144,3
10228,0
11786,0
13068,11
13093,0
13106,6
13123,9
13333,0
13615,3
13642,0
13684,0
13818,0
13894,0
15368,0
15565,0
19768,0
27291,0
27335,0
27350,0
27455,1
